customerID,DOB,Gender,State,PinCode,transactionDate,store_code,store_description,till_no,transaction_number_by_till,promo_code,promotion_description,product_code,product_description,sale_price_after_promo,discountUsed
BBID_20482,1975-10-20,male,MADHYA PRADESH,453441,2016-05-01,2655,BB-INDORE-MALHAR MEGA MALL,2,85246,NONPROMO,,1000446431,PATANJALI CHOCOS 125g,55,Payback
BBID_20485,1955-07-21,female,,999999,2017-03-09,2655,BB-INDORE-MALHAR MEGA MALL,8,78829,NONPROMO,,1000010431,SOO FRESH ROLLS HOT DOG 4P,30,Payback
BBID_20498,1981-03-19,female,MAHARASHTRA,400064,2015-08-12,2655,BB-INDORE-MALHAR MEGA MALL,13,1064,0000971754,AD 399 FLAT LADIES JEANS  FASHION EXC,1000077851005,"DLJ-0010-BSF-2-CJ-FL, 34, BLACK",418.95,Payback
BBID_20499,1986-05-10,male,MAHARASHTRA,400099,2016-12-18,2615,BB-AMRITSAR-TRILIUM MALL,14,51080,NONPROMO,,1000443231,PATANJALI TOMATO KETCHUP BT 500g,70,Payback
BBID_204110,1988-02-29,male,MADHYA PRADESH,474001,2015-12-31,2655,BB-INDORE-MALHAR MEGA MALL,9,21911,0000974126,NMP 5% OFF CONCEPT DISCOUNT 2655,300481741,MAGGI NDL MERI MASALA PP 70g,34.2,Payback
BBID_204129,1976-07-21,,,999999,2017-01-21,2655,BB-INDORE-MALHAR MEGA MALL,4,22778,NONPROMO,,300648527,GH SUGAR 5Kg,249,Payback
BBID_204149,1977-04-11,male,MAHARASHTRA,401105,2016-11-08,2906,BB-INDORE-TREASURE ISLAND,11,33822,0001203034,"AZ 1@349,2@599 FLAT REG TERRY BATH TOWEL",1000479429005,"SS16 GREEKY Bath Tow, 70CM X 1.4 M, TEAL",1503.75,Payback
BBID_204178,1972-06-23,male,,456335,2016-04-23,2655,BB-INDORE-MALHAR MEGA MALL,2,82493,NONPROMO,,1000446514,PATANJALI ROSE FACE WASH 60g,90,Payback
BBID_204186,1977-09-21,female,HARAYANA,122002,2017-04-23,3692,BB-LUDHIANA-FEROZEPUR-MF,5,11873,NONPROMO,,1000257325,BANANA ROBUSTA,113.44,Payback
BBID_204232,1986-05-24,male,TAMILNADU,625011,2016-05-24,4986,BB-MADURAI-KOCHADAI VILLAGE,13,79027,NONPROMO,,108014378,PEARS SOAP OIL CLEAR & GLOW 75g,72,Payback
BBID_204242,1964-01-09,male,KARNATAKA,560097,2016-11-27,2655,BB-INDORE-MALHAR MEGA MALL,10,60438,0001213777,IZ 5 %DIS MIX LOB,1000323996,SANCHI MILK GOLD PP 500ml,20.9,Payback
